Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
SJI,1,0,-79.21,2,251.19,0,-16493.44,0,-596.1,0.0,-57.14,0.0,-69.05
SJI,2,0,-24.97,0,-48.75,1,101.19,0,-102.4,0.0,-127.09,0.0,-52.0
SJM,1,0,-119.57,2,10.86,0,-33.33,0,-107.19,2.0,615.63,2.0,183.29
SJM,2,1,434.55,1,6775.0,1,154.78,1,1462.5,0.0,-163.72,0.0,-147.05
SJR,1,0,-191.34,2,2.53,0,-44.68,0,-57.04,0.0,-292.25,0.0,-100.68
SJR,2,1,282.56,0,-47.25,1,175.4,0,-53.74,0.0,-4.08,1.0,1418.59
SJW,1,0,-287.43,2,535.8,0,-243.57,2,497.91,0.0,-95.82,0.0,-51.13
SJW,2,0,-64.96,1,735.29,0,-53.37,1,162.84,1.0,436.56,0.0,-422.34
SKM,1,0,-79.77,0,-556.02,0,-16.55,0,-3.69,0.0,-123.73,0.0,-441.51
SKM,2,1,224.25,1,234.79,0,-18.71,1,239.57,1.0,234.49,0.0,-59.89
SKT,1,0,-48.61,0,-437.38,0,-83.14,0,-473.33,0.0,-159.53,0.0,-234.07
SKT,2,1,271.99,0,-371.14,1,240.56,0,-228.4,1.0,1035.81,1.0,391.29
SKX,1,0,-94.24,0,-202.0,0,-97.49,0,-196.46,0.0,-108.84,0.0,-516.29
SKX,2,1,310.8,0,-18.63,1,289.11,1,7.99,1.0,181.34,0.0,-74.88
SLB,1,0,-76.56,0,-1077.4,2,384.7,0,-9229.03,2.0,680.78,0.0,-99.41
SLB,2,1,197.86,0,-168.58,0,-93.5,0,-96.03,0.0,-82.14,0.0,-339.35
SLCA,1,0,-43.29,0,-97.6,2,1162.72,0,-553.83,0.0,-3.12,0.0,-71.55
SLCA,2,1,247.07,0,-196.83,1,106.33,0,-124.05,0.0,-27.02,0.0,-165.26
SLF,1,0,-53.28,0,-45.97,2,147.5,0,-80.37,0.0,-92.04,0.0,-262.5
SLF,2,1,367.7,0,-92.92,0,-125.19,1,689.46,1.0,101.46,0.0,-78.05
SLG,1,0,-88.71,0,-289.92,0,-55.42,0,-818.79,2.0,1599.73,2.0,229.12
SLG,2,0,-88.29,0,-79.26,0,-59.86,0,-91.62,0.0,-48.34,0.0,-92.22
SM,1,0,-81.47,0,-507.75,0,-77.86,0,-833.01,0.0,-661.17,0.0,-122.42
SM,2,1,273.22,0,-110.0,1,224.1,0,-110.32,0.0,-88.68,0.0,-133.34
SMAR,1,0,-46.03,0,-14.95,2,25.93,0,-12.27,0.0,-317.93,0.0,-60.5
SMAR,2,1,15.64,0,-12.83,0,-24.35,0,-9.66,0.0,-4.32,0.0,-59.85
SMG,1,0,-87.02,2,107.5,0,-60.56,2,67.08,2.0,624.63,0.0,-102.66
SMG,2,0,-2073.45,1,276.22,0,-607.67,1,2183.95,0.0,-376.34,1.0,1011.58
SMHI,1,0,-140.85,0,-99.53,2,2750.0,0,-101.57,0.0,-214.27,0.0,-93.09
SMHI,2,1,170.54,1,1519.49,1,102.14,1,251.87,0.0,-184.74,0.0,-30.53
SMLP,1,0,-35.39,0,-37.25,0,-81.48,0,-442.19,0.0,-99.51,0.0,-8595.24
SMLP,2,0,-672.99,0,-149.57,0,-87.75,0,-83.2,1.0,3758.18,0.0,-139.43
SMP,1,0,-118.72,0,-75.99,0,-145.92,0,-119.52,0.0,-142.49,0.0,-103.36
SMP,2,1,885.78,1,243.06,1,1643.6,1,294.44,1.0,517.4,1.0,139.99
SNA,1,0,-71.49,0,-673.47,0,-49.39,0,-4314.29,0.0,-78.71,0.0,-271.87
SNA,2,1,298.42,0,-117.63,1,296.15,0,-104.0,1.0,400.78,0.0,-81.56
SNAP,1,0,-59.27,0,-46.4,0,-30.65,2,1.72,0.0,-27.78,0.0,-41.23
SNAP,2,1,3573.93,0,-27.77,1,2846.11,1,5.2,0.0,-311.03,0.0,-66.21
SNDR,1,2,1204.58,0,-56.43,2,14.46,0,-11.47,2.0,1970.13,2.0,195.55
SNDR,2,0,-214.98,0,-126.69,1,229.18,0,-134.12,0.0,-196.25,0.0,-36.18
SNE,1,0,-15.4,0,-164.3,2,275.89,0,-403.9,0.0,-117.84,0.0,-138.77
SNE,2,1,58.92,0,-77.73,0,-41.7,0,-87.43,0.0,-94.61,0.0,-84.18
SNR,1,0,-92.8,0,-96.56,0,-12.96,0,-139.27,0.0,-85.0,0.0,-92.82
SNR,2,0,-590.2,1,158.61,0,-31.93,1,1709.09,0.0,-195.24,0.0,-1290.37
SNX,1,2,121.05,0,-98.23,0,-12.88,0,-80.82,0.0,-56.28,0.0,-86.52
SNX,2,1,262.55,1,106.77,1,230.39,1,12.93,1.0,355.4,1.0,965.7
SOGO,1,0,-22.78,0,-7887.5,0,-26.53,0,-593.46,0.0,-500.0,0.0,-2671.75
SOGO,2,0,-143.04,1,116.04,0,-1221.05,0,-81.99,0.0,-58.33,0.0,-132.0
SOI,1,0,-75.35,0,-667.69,0,-80.72,0,-354.39,0.0,-25.0,0.0,-2658.82
SOI,2,1,280.68,0,-92.15,1,248.93,0,-88.29,0.0,-42.22,0.0,-98.89
SOL,1,0,-104.61,0,-77.77,0,-364.23,2,489.13,0.0,-120.83,0.0,-459.99
SOL,2,1,651.22,1,3.41,1,217.45,0,-121.1,1.0,359.99,0.0,-152.88
SON,1,2,89.56,0,-167.28,0,-9.12,0,-719.35,0.0,-333.51,0.0,-305.92
SON,2,1,152.15,0,-81.14,1,220.95,0,-104.41,1.0,257.09,0.0,-109.08
SPB,1,0,-102.47,2,369.67,0,-111.57,2,2605.88,2.0,236.0,0.0,-46.69
SPB,2,1,332.02,0,-3114.29,1,281.65,0,-106.16,0.0,-120.54,0.0,-109.98
SPG,1,2,474.9,0,-66333.33,2,4456.25,0,-7011.11,2.0,287.74,0.0,-251.0
SPG,2,0,-88.38,0,-98.48,0,-99.26,0,-87.32,0.0,-0.5,0.0,-151.57
