Stock,Period,Quarterly Gross Profit Score,Quarterly Gross Profit Changed %,Annual Gross Profit Score,Annual Gross Profit Changed %,Quarterly Revenue Score,Quarterly Revenue Changed %,Annual Revenue Score,Annual Revenue Changed %,Quarterly EPS Score,Quarterly EPS Changed %,Annual EPS Score,Annual EPS Changed %
A,1,0,-64.31,0,-75.54,0,-75.13,0,-32.74,2.0,183.27,0.0,-112.83
A,2,1,872.13,0,-60.2,1,846.77,0,-48.68,0.0,-89.06,1.0,559.8
AA,1,0,-47.46,0,-31.87,0,-88.71,0,-50.41,0.0,-78.22,0.0,-5080.54
AA,2,1,226.27,0,-297.55,1,203.17,0,-247.44,0.0,-374.53,0.0,-106.39
AAIC,1,2,304.7,0,-312.84,2,304.7,0,-312.84,0.0,-148.94,2.0,118.86
AAIC,2,0,-137.42,1,167.57,0,-137.42,1,167.57,1.0,123.15,0.0,-525.09
AAP,1,0,-233.33,2,309.84,0,-529.63,2,205.22,0.0,-3.32,0.0,-77.34
AAP,2,1,143.9,0,-62.92,1,122.25,0,-39.37,0.0,-106.65,1.0,280.19
AAT,1,0,-34.05,0,-140.85,0,-232.72,0,-151.18,0.0,-2.5,0.0,-145.24
AAT,2,0,-62.3,1,118.85,1,118.27,1,114.37,0.0,-9.89,1.0,409.98
AB,1,2,120.72,2,1081.99,2,120.72,2,1081.99,2.0,99.25,2.0,4015.0
AB,2,1,275.94,0,-109.78,1,275.94,0,-109.78,1.0,393.54,0.0,-102.82
ABB,1,2,397.29,0,-355.18,2,31.22,0,-678.07,2.0,8058.43,2.0,865.64
ABB,2,0,-259.68,0,-52.02,1,795.0,0,-88.36,0.0,-183.35,0.0,-3437.11
ABBV,1,2,237.71,2,625.32,0,-68.81,2,2300.64,0.0,-126.08,0.0,-209.53
ABBV,2,0,-35.21,0,-80.6,1,13.41,0,-90.24,1.0,409.87,1.0,305.68
ABC,1,0,-19.69,0,-56.88,0,-22.34,0,-17.29,2.0,106.07,0.0,-1004.92
ABC,2,1,181.8,1,1198.57,1,297.46,0,-28.16,0.0,-2448.14,0.0,-112.91
ABEV,1,0,-34.67,2,254.03,0,-44.9,2,247.31,2.0,500.0,0.0,-100.0
ABEV,2,1,347.3,0,-155.97,1,538.57,0,-27.52,0.0,-25.0,1.0,191.26
ABG,1,0,-71.73,0,-21.94,0,-23.97,0,-122.29,0.0,-108.02,2.0,147.78
ABG,2,1,452.71,1,33.86,1,374.53,0,-24.42,0.0,-39.79,0.0,-38.84
ABM,1,0,-23.31,2,338.7,2,195.3,0,-993.18,0.0,-102.57,0.0,-441.88
ABM,2,1,283.53,0,-75.58,0,-6.07,0,-95.15,1.0,123.89,0.0,-98.54
ABR,1,0,-25.47,0,-41.18,0,-18.78,0,-60.99,0.0,-96.53,2.0,171.89
ABR,2,0,-95.49,0,-42.37,0,-99.75,0,-43.13,0.0,-57.65,0.0,-145.18
ABT,1,2,33.58,2,9.31,2,0.29,2,95.39,0.0,-43.15,0.0,-61.09
ABT,2,1,334.3,0,-63.83,1,504.08,0,-62.71,1.0,4124.77,0.0,-86.02
ACA,1,0,-714.72,0,-32.82,0,-271.35,0,-39.57,0.0,-1042.69,0.0,-111.91
ACA,2,0,-155.34,1,388.44,0,-181.04,1,13621.43,0.0,-227.27,1.0,410.74
ACC,1,2,1411.68,0,-244.67,2,61.86,0,-208.63,2.0,540.0,0.0,-47.5
ACC,2,0,-86.74,0,-35.32,1,136.05,0,-33.24,0.0,-57.35,0.0,-142.01
ACCO,1,0,-4.02,0,-2606.59,0,-82.89,0,-2149.33,2.0,1033.32,2.0,137.57
ACCO,2,1,823.47,1,120.27,1,569.64,1,292.31,0.0,-69.45,0.0,-143.42
ACEL,1,2,11872.05,0,-22.63,2,36101.1,0,-17.25,2.0,118.98,,
ACEL,2,0,-661.97,0,-25.22,0,-648.05,0,-22.39,0.0,-850.01,,
ACI,1,0,-91.4,2,26.99,0,-92.81,2,210.78,0.0,-16.04,,
ACI,2,0,-158.74,1,171.49,0,-164.87,1,148.78,0.0,-106.95,,
ACM,1,0,-211.97,0,-42.18,0,-160.3,0,-73.53,2.0,131.26,0.0,-90.2
ACM,2,0,-73.13,1,192.48,1,787.28,0,-92.85,0.0,-277.45,0.0,-385.55
ACN,1,2,632.0,0,-24.35,2,702.11,0,-52.58,2.0,249.79,0.0,-55.25
ACN,2,0,-149.5,0,-48.83,0,-5.19,0,-59.28,1.0,1011.54,0.0,-2.72
ACRE,1,0,-122.11,0,-153.3,0,-122.11,0,-153.3,0.0,-86.81,0.0,-833.33
ACRE,2,0,-98.48,1,97.46,0,-98.48,1,97.46,0.0,-66.35,0.0,-119.83
ADC,1,2,3.78,0,-11.72,2,9.26,0,-11.25,2.0,145.18,0.0,-216.73
ADC,2,1,148.59,1,71.73,1,253.07,1,59.93,0.0,-884.33,1.0,158.46
ADM,1,2,599.16,2,1011.11,2,365.87,0,-195.92,2.0,491.37,2.0,223.78
ADM,2,0,-136.1,0,-104.3,0,-180.94,0,-91.52,0.0,-340.94,0.0,-263.95
ADNT,1,0,-86.19,0,-66.39,0,-94.24,0,-345.23,2.0,669.29,0.0,-84.42
ADNT,2,1,258.08,0,-54.64,1,325.78,0,-169.31,0.0,-94.56,0.0,-75.82
ADS,1,0,-130.18,0,-93.25,0,-22.28,0,-1157.62,0.0,-137.24,0.0,-78.0
ADS,2,1,12.83,0,-324.13,1,124.96,0,-143.02,1.0,755.58,0.0,-390.64
ADT,1,0,-95.92,0,-69.51,2,150.0,0,-68.91,0.0,-89.02,0.0,-88.28
ADT,2,0,-110.0,1,56.09,0,-12.86,1,92.38,0.0,-81.13,0.0,-255.02
AEE,1,0,-263.45,2,325.27,0,-210.64,0,-68.87,0.0,-237.42,2.0,397.78
AEE,2,1,2.47,0,-532.56,1,682.39,0,-457.4,0.0,-24.36,0.0,-98.37
AEL,1,2,190.24,0,-128.17,2,319.42,0,-124.15,0.0,-128.07,2.0,438.55
AEL,2,0,-201.84,1,373.79,0,-103.41,1,305.51,1.0,273.48,0.0,-129.14
AEM,1,0,-102.38,2,76.42,0,-107.0,2,86.0,0.0,-80.68,0.0,-97.72
AEM,2,1,951.42,1,272.44,1,545.23,1,705.24,1.0,642.67,1.0,203.21
AEO,1,0,-93.26,0,-72.29,0,-72.14,2,6.64,2.0,627.37,0.0,-179.13
AEO,2,1,999.31,1,2113.16,1,203.65,1,23.15,0.0,-98.19,1.0,1261.78
AER,1,0,-1244.87,2,415.54,0,-332.12,2,160.72,0.0,-4247.08,2.0,276.69
AER,2,0,-66.45,0,-191.47,0,-121.48,0,-4181.82,0.0,-32.47,0.0,-62.28
AES,1,0,-109.56,2,178.95,0,-96.01,0,-1.76,2.0,161.26,0.0,-12.38
AES,2,1,1221.49,0,-349.71,1,385.52,0,-360.2,0.0,-104.9,0.0,-137.04
AFG,1,2,3111.89,0,-95.99,2,357.1,0,-120.66,2.0,5948.39,0.0,-124.5
AFG,2,0,-96.92,1,469.23,0,-89.16,1,306.81,0.0,-103.51,1.0,533.15
AFI,1,0,-708.01,0,-94.78,0,-207.42,0,-52.61,0.0,-60.17,0.0,-80.01
AFI,2,1,95.34,0,-673.04,1,51.91,0,-509.06,0.0,-51.66,0.0,-47.16
AFL,1,2,33.12,0,-90.39,0,-8.18,0,-128.57,0.0,-129.61,2.0,188.75
AFL,2,0,-57.28,1,259.55,1,0.42,1,500.0,1.0,375.2,1.0,150.52
AG,1,0,-100.89,0,-86.39,0,-102.68,0,-100.1,2.0,669.97,2.0,289.07
AG,2,1,1625.82,1,517.61,1,538.92,1,8.61,0.0,-216.72,0.0,-66.79
AGCO,1,0,-91.35,2,695.16,0,-64.05,2,136.14,0.0,-111.89,2.0,552.78
AGCO,2,1,954.18,0,-104.73,1,500.74,0,-126.37,1.0,1225.5,0.0,-200.29
AGI,1,0,-101.08,0,-63.13,0,-94.87,2,98.33,2.0,133.33,2.0,172.75
AGI,2,1,479.9,1,637.07,1,354.92,0,-76.1,1.0,253.85,0.0,-236.11
AGM,1,2,267.83,2,53.23,2,267.83,2,53.23,0.0,-117.3,0.0,-104.71
AGM,2,0,-124.97,0,-67.73,0,-124.97,0,-67.73,1.0,451.03,1.0,220.28
AGO,1,2,222.45,0,-82.89,2,211.43,2,174.9,0.0,-111.28,0.0,-32.36
AGO,2,0,-147.02,0,-14.61,0,-134.83,0,-64.86,1.0,420.06,0.0,-134.75
AGR,1,0,-5.91,0,-20.97,2,141.79,0,-87.04,0.0,-100.0,0.0,-68.43
AGR,2,1,123.01,0,-275.47,1,125.24,0,-125.0,0.0,-869.51,1.0,241.27
AGRO,1,2,455.02,2,331.44,2,83.13,2,178.93,2.0,442.99,0.0,-67.26
AGRO,2,0,-59.95,0,-8.56,1,137.39,0,-303.8,0.0,-88.55,0.0,-164.65
AGS,1,2,612.84,0,-79.08,2,380.17,0,-80.32,0.0,-61.51,0.0,-33.05
AGS,2,0,-181.87,1,44.63,0,-128.93,1,27.82,0.0,-82.87,0.0,-53.28
AGX,1,0,-89.6,0,-145.39,2,0.15,0,-9.63,0.0,-91.87,0.0,-570.21
AGX,2,1,148.13,0,-2743.68,1,494.28,0,-242.59,1.0,1022.49,0.0,-2144.36
AHC,1,2,714.03,0,-16276.81,2,153.76,0,-50.32,0.0,-0.0,2.0,138.59
AHC,2,0,-93.7,1,101.2,0,-11.45,0,-326.54,0.0,-66.67,0.0,-334.5
AHH,1,2,288.13,0,-66.82,0,-73.2,2,48.8,0.0,-281.8,0.0,-152.7
AHH,2,0,-70.72,1,1493.72,0,-88.8,1,191.4,0.0,-178.58,1.0,149.61
AHT,1,0,-96.78,0,-2783.96,0,-102.63,0,-1420.36,0.0,-64.72,0.0,-71.95
AHT,2,0,-74.29,1,236.33,1,237.07,1,1827.59,0.0,-11.33,0.0,-6.03
AIG,1,0,-136.92,0,-173.24,0,-204.66,0,-361.26,0.0,-205.68,0.0,-100.76
AIG,2,1,267.61,1,748.28,1,125.17,1,219.37,1.0,118.41,1.0,37656.33
AIN,1,2,130.22,0,-148.87,2,213.25,0,-299.73,0.0,-26.78,0.0,-143.02
AIN,2,0,-200.79,0,-19.07,0,-49.16,0,-46.98,0.0,-103.5,0.0,-60.18
AIR,1,2,252.95,0,-216.39,2,118.57,0,-94.35,2.0,1878.85,0.0,-21.89
AIR,2,0,-19.15,1,4.12,0,-84.74,1,75.35,0.0,-99.0,0.0,-34.96
AIT,1,0,-85.28,0,-147.01,0,-84.98,0,-150.31,0.0,-1014.14,0.0,-4386.08
AIT,2,1,126.77,0,-29.1,1,124.59,0,-29.69,0.0,-90.75,0.0,-68.61
AIV,1,0,-36.52,0,-173.45,0,-42.19,0,-47.13,0.0,-130.67,0.0,-123.84
AIV,2,0,-11.41,0,-135.99,0,-3.03,0,-201.26,1.0,666.75,1.0,530.12
AIZ,1,2,284.37,0,-83.81,2,46.85,0,-92.83,2.0,515.88,0.0,-57.86
AIZ,2,0,-154.59,1,20.91,1,137.73,0,-9.57,0.0,-871.36,1.0,181.11
AJG,1,0,-239.16,0,-51.39,0,-145.97,0,-159.71,0.0,-243.68,2.0,447.31
AJG,2,1,124.29,1,126.92,1,207.41,0,-74.98,1.0,124.91,0.0,-87.74
AJRD,1,2,311.56,0,-84.63,2,82.61,2,2.0,2.0,182.45,0.0,-48.1
AJRD,2,0,-157.97,0,-38.2,0,-60.76,1,351.0,0.0,-170.85,0.0,-100.24
AJX,1,0,-97.29,2,967.52,0,-96.35,2,97.65,0.0,-101.18,2.0,311.13
AJX,2,1,458.11,0,-88.61,1,353.43,0,-62.87,1.0,1436.18,0.0,-37.5
AKR,1,2,334.3,0,-314.74,2,276.55,0,-227.93,0.0,-86.25,0.0,-283.87
AKR,2,0,-32.07,1,181.74,0,-38.44,1,161.46,0.0,-145.45,1.0,231.72
AL,1,0,-53.58,0,-130.64,0,-82.89,0,-100.35,0.0,-58.85,0.0,-229.11
AL,2,0,-686.0,1,121.46,0,-372.82,1,86.44,0.0,-347.72,1.0,132.72
ALB,1,0,-49.61,0,-1148.0,2,887.11,0,-302.05,0.0,-194.2,0.0,-43.52
ALB,2,1,329.79,0,-74.39,0,-165.98,0,-35.6,1.0,172.15,0.0,-101.74
ALC,1,0,-92.33,0,-764.37,0,-89.2,0,-281.25,2.0,350.81,,
ALC,2,1,310.27,0,-78.26,1,250.91,0,-6.77,0.0,-89.44,,
ALEX,1,2,244.81,0,-64.17,0,-198.21,0,-5.93,2.0,188.39,0.0,-59.51
ALEX,2,0,-5.41,0,-163.07,1,169.19,0,-165.03,0.0,-722.26,0.0,-104.92
ALG,1,0,-190.39,0,-7.53,0,-112.43,0,-63.8,2.0,434.62,0.0,-122.68
ALG,2,1,203.78,0,-12.71,1,159.09,1,3.5,0.0,-125.97,1.0,580.4
ALK,1,0,-30.29,0,-1102.06,0,-77.06,0,-1048.72,0.0,-99.44,0.0,-457.39
ALK,2,0,-91.82,1,181.24,1,189.55,1,33.48,0.0,-1258.21,1.0,238.97
ALL,1,2,326.06,0,-60.04,2,66.05,0,-97.87,2.0,1910.76,0.0,-84.0
ALL,2,0,-148.7,1,474.45,0,-75.65,1,1074.04,0.0,-105.08,1.0,474.33
ALLY,1,2,196.35,0,-135.57,2,196.35,0,-135.57,0.0,-53.3,0.0,-171.39
ALLY,2,0,-91.87,1,808.05,0,-91.87,1,808.05,0.0,-44.74,1.0,5.63
ALSN,1,0,-100.79,0,-1323.86,0,-98.64,0,-4058.18,0.0,-108.58,0.0,-1814.71
ALSN,2,1,203.26,0,-107.66,1,200.71,0,-102.76,1.0,388.01,0.0,-93.56
ALV,1,0,-99.05,0,-187.06,0,-75.08,0,-758.0,0.0,-40.47,0.0,-141.74
ALV,2,1,2897.38,0,-494.68,1,318.46,0,-122.56,1.0,146.91,1.0,358.25
ALX,1,2,377.83,0,-982.29,2,763.68,0,-332.37,2.0,485.35,0.0,-136.49
ALX,2,0,-12.06,0,-60.23,0,-72.73,0,-383.67,0.0,-127.21,1.0,239.96
AMBC,1,2,306.97,0,-128.42,2,172.39,0,-96.23,0.0,-132.05,0.0,-240.32
AMBC,2,0,-206.31,0,-104.18,0,-109.68,0,-178.0,0.0,-44.08,1.0,128.6
AMC,1,0,-99.92,0,-163.41,2,643.2,0,-97.47,0.0,-24.13,0.0,-507.28
AMC,2,0,-1056.58,0,-57.97,0,-180.21,0,-86.82,0.0,-99.4,1.0,125.39
AME,1,0,-41.38,0,-245.21,0,-43.8,0,-285.89,0.0,-64.22,0.0,-95.68
AME,2,1,180.63,0,-49.67,1,171.83,0,-49.17,1.0,154.22,0.0,-9.77
AMG,1,0,-17.92,0,-73.24,2,139.16,0,-62.16,0.0,-54.14,2.0,1492.28
AMG,2,1,172.58,0,-238.21,1,170.45,0,-283.65,0.0,-54.41,0.0,-49.19
AMH,1,0,-54.89,0,-66.57,0,-137.69,0,-47.49,2.0,240.01,2.0,31.25
AMH,2,1,261.71,0,-27.0,1,537.05,0,-43.89,0.0,-128.56,1.0,566.64
AMK,1,0,-55.02,0,-757.14,0,-56.31,0,-77.36,2.0,141.27,,
AMK,2,1,182.84,0,-101.53,1,158.89,0,-35.23,0.0,-350.0,,
AMN,1,2,290.05,0,-3.85,2,254.94,2,91.56,0.0,-484.55,0.0,-118.65
AMN,2,0,-191.52,0,-16.13,0,-1051.02,0,-45.69,0.0,-77.02,0.0,-304.31
AMP,1,2,23.4,0,-53.47,0,-43.68,0,-2143.75,2.0,447.06,0.0,-527.41
AMP,2,1,147.75,0,-185.62,1,206.03,0,-105.24,0.0,-42.15,0.0,-103.91
AMPY,1,2,864.88,0,-319.0,2,226.51,0,-334.61,0.0,-35.46,0.0,-199.6
AMPY,2,0,-58.75,0,-62.7,0,-55.51,0,-23.53,0.0,-92.83,1.0,247.94
AMRC,1,0,-55.61,2,465.82,0,-57.76,2,88.07,2.0,1255.54,2.0,1313.93
AMRC,2,1,988.04,0,-115.47,1,433.2,1,3.89,0.0,-57.11,0.0,-100.57
AMT,1,2,22.02,2,337.5,2,4.21,2,223.4,0.0,-628.75,0.0,-119.99
AMT,2,1,219.03,0,-86.5,1,229.85,0,-83.86,0.0,-46.88,1.0,1315.2
AMX,1,2,3266.36,2,72.03,0,-158.06,2,131.99,0.0,-100.0,0.0,-236.0
AMX,2,1,103.88,1,51.28,1,477.97,0,-283.33,1.0,159.17,0.0,-75.0
AN,1,0,-103.43,0,-53.24,0,-63.44,0,-1130.56,0.0,-45.09,0.0,-192.84
AN,2,1,1206.7,1,224.56,1,770.03,0,-36.84,0.0,-115.91,1.0,815.27
ANET,1,0,-35.27,0,-132.45,0,-40.75,0,-132.12,0.0,-43.47,0.0,-115.35
ANET,2,1,586.71,0,-57.58,1,258.21,0,-60.74,1.0,174.22,1.0,771.17
ANF,1,0,-60.58,0,-111.51,0,-60.41,0,-67.03,2.0,519.03,0.0,-104.53
ANF,2,1,197.88,1,34.19,1,174.34,0,-44.09,1.0,125.13,1.0,1369.93
ANH,1,2,726.34,0,-97.63,2,726.34,0,-97.63,0.0,-137.42,0.0,-128.48
ANH,2,0,-131.3,0,-702.67,0,-131.3,0,-702.67,1.0,115.61,0.0,-175.96
ANTM,1,0,-60.14,2,360.33,0,-66.92,2,28.72,2.0,277.05,0.0,-108.79
ANTM,2,0,-178.14,0,-17.49,1,634.71,1,479.74,0.0,-280.48,1.0,2817.12
AON,1,2,376.4,0,-35.46,2,641.65,0,-78.76,2.0,404.74,0.0,-15.81
AON,2,0,-63.9,0,-41.17,0,-79.98,0,-70.73,0.0,-36.71,1.0,1757.26
AOS,1,0,-54.64,0,-35.77,0,-32.32,0,-46.9,0.0,-77.52,0.0,-67.74
AOS,2,1,500.0,0,-261.21,1,241.51,0,-195.92,1.0,75.23,0.0,-126.95
AP,1,2,136.12,2,823.53,2,106.71,0,-157.64,2.0,147.14,0.0,-85.05
AP,2,0,-482.86,0,-103.68,0,-191.21,0,-44.58,0.0,-365.16,0.0,-448.89
APAM,1,0,-40.15,2,512.88,0,-17.29,2,451.68,2.0,6.89,2.0,523.02
APAM,2,1,768.54,0,-168.39,1,29280.0,0,-186.27,0.0,-18.63,0.0,-102.4
APD,1,0,-130.95,0,-74.86,0,-80.79,0,-438.46,0.0,-110.16,0.0,-59.5
APD,2,1,197.26,0,-40.8,1,280.94,0,-101.43,1.0,237.63,1.0,134.0
APH,1,0,-80.75,2,225.17,0,-73.85,2,1465.52,0.0,-91.56,2.0,264.23
APH,2,1,176.21,0,-109.84,1,150.74,0,-98.29,1.0,318.45,0.0,-102.99
APLE,1,0,-106.31,0,-6336.36,0,-111.96,0,-16829.03,0.0,-42.8,0.0,-1285.04
APLE,2,1,532.58,0,-52.79,1,226.72,0,-112.02,0.0,-98.57,0.0,-247.95
APO,1,2,184.78,0,-112.42,2,184.78,0,-112.42,2.0,293.04,0.0,-106.59
APO,2,0,-116.83,1,380.91,0,-116.83,1,380.91,0.0,-128.1,1.0,1318.7
APRN,1,2,171.1,2,104.45,2,119.94,2,103.95,0.0,-97.68,0.0,-32.25
APRN,2,0,-200.0,0,-230.2,0,-150.05,0,-31.48,0.0,-1334.57,0.0,-17.08
APTS,1,0,-164.45,0,-24.93,0,-239.49,0,-59.74,0.0,-66.54,0.0,-3356.56
APTS,2,0,-11.34,0,-45.81,1,167.15,0,-49.0,0.0,-85.75,0.0,-90.48
APTV,1,0,-98.61,0,-2422.73,0,-82.98,0,-1564.81,0.0,-108.24,2.0,1825.53
APTV,2,1,1697.47,0,-73.75,1,322.07,0,-104.49,1.0,240.67,0.0,-79.42
AQN,1,2,161.5,2,30.46,2,136.23,0,-117.21,0.0,-116.35,2.0,6332.59
AQN,2,0,-569.96,0,-95.63,0,-533.94,0,-78.62,1.0,464.22,0.0,-77.72
AQUA,1,0,-302.62,0,-51.88,0,-255.12,0,-113.28,0.0,-281.75,2.0,590.38
AQUA,2,1,1167.57,1,523.47,1,1050.46,1,6.1,0.0,-77.78,0.0,-273.33
AR,1,0,-68.89,0,-422.63,0,-34.23,0,-204.39,2.0,852.3,0.0,-2580.0
AR,2,1,379.3,0,-103.99,1,377.62,0,-112.35,0.0,-66.88,0.0,-92.79
ARC,1,0,-179.38,0,-493.78,0,-188.59,0,-430.79,0.0,-153.57,2.0,253.85
ARC,2,1,170.72,0,-178.91,1,145.96,0,-391.72,1.0,166.66,0.0,-145.6
ARCH,1,0,-104.57,0,-294.45,0,-170.06,0,-482.24,0.0,-79.46,0.0,-2392.57
ARCH,2,1,1281.37,0,-330.83,1,192.86,0,-217.37,0.0,-202.21,0.0,-119.94
ARCO,1,2,205.53,2,113.93,2,213.21,0,-44.49,0.0,-1.52,2.0,258.73
ARCO,2,0,-193.58,0,-185.49,0,-190.13,0,-153.71,0.0,-73.63,0.0,-212.61
ARD,1,0,-155.57,0,-207.02,0,-144.62,2,545.83,2.0,194.09,0.0,-105.94
ARD,2,1,372.45,1,144.02,1,1320.2,0,-105.36,0.0,-87.69,1.0,761.9
ARE,1,0,-166.07,2,68.7,0,-160.64,2,51.03,2.0,777.36,2.0,915.4
ARE,2,1,5556.86,0,-20.25,1,3123.46,0,-15.05,0.0,-105.45,0.0,-109.25
ARES,1,2,1023.08,0,-105.03,2,283.29,0,-100.1,0.0,-111.09,2.0,590.85
ARES,2,0,-100.03,1,372.22,0,-100.43,1,338.93,1.0,186.76,0.0,-6.79
ARGO,1,0,-278.74,0,-10188.78,2,22.59,0,-140.77,0.0,-502.88,0.0,-493.7
ARGO,2,0,-184.89,0,-55.66,1,23.4,1,497.44,0.0,-17.5,1.0,144.0
ARI,1,2,216.33,0,-643.91,2,216.33,0,-643.91,0.0,-155.44,0.0,-1735.3
ARI,2,0,-111.78,1,110.91,0,-111.78,1,110.91,0.0,-109.79,0.0,-38.72
ARL,1,0,-121.37,0,-9712.68,2,235.77,0,-1853.89,2.0,357.14,0.0,-106.1
ARL,2,0,-92.08,0,-92.24,0,-170.69,0,-160.57,0.0,-122.22,1.0,1347.72
ARLO,1,0,-94.92,2,189.24,0,-93.63,0,-83.0,0.0,-67.61,0.0,-684.36
ARLO,2,1,646.35,0,-6734.78,1,3515.47,0,-180.26,0.0,-65.2,0.0,-99.84
ARMK,1,0,-106.0,0,-286.11,0,-92.35,0,-855.96,0.0,-10.05,0.0,-887.39
ARMK,2,1,462.66,0,-141.81,1,159.29,0,-65.89,0.0,-58.4,0.0,-140.8
AROC,1,0,-32.94,0,-114.31,0,-53.97,0,-238.96,0.0,-146.88,0.0,-161.74
AROC,2,0,-18.99,0,-8.18,0,-43.33,0,-51.16,1.0,412.38,1.0,1005.91
ARR,1,2,233.06,0,-93.78,2,233.06,0,-93.78,2.0,785.29,0.0,-61.15
ARR,2,0,-91.38,0,-57.26,0,-91.38,0,-57.26,0.0,-89.48,0.0,-66.36
ARW,1,2,237.2,0,-62.03,2,78.75,0,-67.19,2.0,54.2,2.0,410.87
ARW,2,1,67.66,0,-200.2,1,167.99,0,-121.77,0.0,-84.73,0.0,-261.04
ASB,1,2,141.13,0,-140.94,2,141.13,0,-140.94,2.0,169.12,0.0,-347.17
ASB,2,0,-185.99,0,-115.49,0,-185.99,0,-115.49,0.0,-129.15,0.0,-96.8
ASC,1,0,-13.85,0,-94.95,0,-76.98,0,-145.93,0.0,-241.7,0.0,-56.16
ASC,2,0,-344.94,1,318.9,0,-896.43,1,29.99,0.0,-55.0,0.0,-81.37
ASGN,1,0,-47.06,0,-134.68,0,-100.62,0,-95.59,0.0,-33.64,2.0,45.28
ASGN,2,1,154.61,0,-49.17,1,247.97,0,-47.68,0.0,-37.62,1.0,2861.76
ASH,1,2,263.51,0,-29.68,0,-253.44,0,-80.59,2.0,1294.04,0.0,-158.66
ASH,2,0,-408.67,0,-177.76,1,203.39,0,-130.59,0.0,-181.7,0.0,-98.04
ASPN,1,2,409.71,0,-141.39,0,-168.51,0,-183.64,0.0,-69.04,0.0,-21.53
ASPN,2,0,-36.24,1,434.28,0,-86.38,1,615.36,0.0,-72.65,0.0,-25.29
ASR,1,2,266.18,0,-563.09,2,91.82,0,-372.38,2.0,198.12,0.0,-821.71
ASR,2,0,-20.0,0,-64.47,1,166.95,0,-59.11,0.0,-393.38,1.0,158.73
ASX,1,2,275.0,2,312.82,2,43.3,2,36.16,0.0,-100.0,2.0,286.8
ASX,2,0,-70.54,0,-67.79,1,38.97,0,-59.16,1.0,283.34,0.0,-344.93
AT,1,2,109.6,2,113.71,2,132.25,0,-99.28,2.0,377.58,0.0,-275.35
AT,2,0,-192.08,0,-174.4,0,-244.63,0,-532.87,0.0,-189.84,1.0,952.26
ATCO,1,0,-79.2,0,-99.98,0,-65.7,0,-89.93,0.0,-94.75,0.0,-30.18
ATCO,2,1,126.5,1,492.32,1,154.03,1,700.38,1.0,393.32,0.0,-73.71
ATGE,1,0,-85.05,2,79.47,2,68.9,0,-32.62,0.0,-85.38,0.0,-201.25
ATGE,2,1,227.06,1,133.73,1,175.75,1,127.22,1.0,140.2,1.0,373.67
ATH,1,2,1148.38,0,-99.29,2,741.68,0,-106.34,2.0,369.93,0.0,-137.25
ATH,2,0,-101.62,1,540.88,0,-106.65,1,692.16,0.0,-118.72,1.0,595.42
ATHM,1,2,751.76,0,-95.97,2,7130.0,0,-82.83,0.0,-82.21,2.0,29.9
ATHM,2,0,-98.29,0,-38.3,0,-99.8,0,-0.3,1.0,185.74,0.0,-70.67
ATI,1,2,176.59,0,-4550.42,2,145.06,0,-1571.28,0.0,-2300.02,0.0,-5277.0
ATI,2,0,-9.91,0,-95.56,0,-15.43,0,-87.29,0.0,-95.98,0.0,-94.93
ATKR,1,0,-46.43,0,-108.75,0,-70.67,0,-277.48,0.0,-52.53,0.0,-32.39
ATKR,2,1,296.62,0,-36.55,1,254.8,0,-79.84,1.0,421.26,0.0,-85.19
ATO,1,2,694.38,2,92.08,2,2622.07,0,-59.48,2.0,601.9,2.0,162.39
ATO,2,0,-66.28,0,-0.23,0,-92.6,0,-153.22,0.0,-7.66,0.0,-143.64
ATR,1,0,-101.37,0,-52.26,0,-115.07,0,-29.36,0.0,-133.16,0.0,-155.91
ATR,2,1,277.22,0,-5.2,1,377.92,0,-71.26,1.0,303.16,1.0,283.03
ATTO,1,2,267.82,0,-0.13,2,174.95,0,-2.79,0.0,-82.21,0.0,-329.32
ATTO,2,0,-37.95,0,-167.68,0,-32.98,0,-157.6,0.0,-109.07,1.0,112.42
AVA,1,2,516.96,2,385.0,2,1955.87,0,-52.04,2.0,1624.75,0.0,-182.87
AVA,2,0,-58.54,1,119.23,0,-92.56,0,-8.26,0.0,-14.38,1.0,178.01
AVAL,1,2,227.86,0,-58.32,2,227.86,0,-58.32,2.0,294.45,0.0,-95.09
AVAL,2,0,-892.63,1,387.38,0,-892.63,1,1616.67,0.0,-642.64,1.0,690.95
AVB,1,0,-19.37,0,-320.17,0,-450.65,0,-164.07,2.0,1101.36,2.0,122.94
AVB,2,0,-14.26,0,-40.1,0,-82.05,0,-63.38,0.0,-886.9,0.0,-282.76
AVD,1,2,46.22,0,-112.09,2,37.65,0,-89.05,0.0,-104.2,0.0,-325.99
AVD,2,1,128.65,1,60.58,1,133.8,1,103.12,1.0,772.21,0.0,-64.95
AVLR,1,2,2.72,0,-11.19,2,34.97,0,-23.82,0.0,-56.06,0.0,-21.42
AVLR,2,1,52.26,1,54.42,1,115.89,1,46.65,0.0,-40.0,0.0,-578.23
AVNS,1,0,-120.5,0,-212.9,0,-102.83,0,-64.41,0.0,-145.33,0.0,-77.26
AVNS,2,1,192.08,0,-73.78,1,245.14,1,4.36,1.0,538.1,0.0,-542.54
AVNT,1,0,-86.9,2,639.33,0,-84.86,2,2170.31,2.0,4339.13,0.0,-128.79
AVNT,2,1,484.12,0,-56.33,1,459.83,0,-105.7,0.0,-168.93,0.0,-26.9
